sa2_name,state,pressure_score,erp_change_pct,growth_20yr,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,total_dwellings_2023-24,lat,lon
Victor Harbor,SA,99.9,1.6,0.5742694426290729,22,216.0,961.0,948.0,-35.5545579,138.6234743
Beechboro,WA,99.9,4.9,1.0073934245713387,22,192.0,979.0,1456.0,-31.8695832,115.9374824
The Vines,WA,99.9,7.1,3.1719955898566705,22,156.0,1046.0,870.0,-31.75683,116.0034
Picton - Tahmoor - Buxton,NSW,99.9,5.0,0.5206886779084597,22,165.0,1016.0,2228.0,-33.3415555,115.7027399
Caboolture - South,QLD,99.9,4.0,1.350034794711204,22,238.0,877.0,968.0,-27.093826,152.9502117
Rosebud - McCrae,VIC,99.9,0.7,0.2612817595752749,19,110.0,982.0,680.0,-38.3687638,144.924944
Flagstone (West) - New Beith,QLD,99.9,7.0,6.481570996978852,22,160.0,1064.0,1468.0,-27.8160216,152.9652865
Jimboomba - Glenlogan,QLD,99.9,4.2,1.0424839822572696,22,99.0,1021.0,956.0,-27.8278309,153.0113903
Boronia Heights - Park Ridge,QLD,99.9,7.6,1.3195885590544076,22,503.130000000001,951.0,2268.0,-27.6943327,153.0272884
Beaudesert,QLD,99.9,2.8,0.6150531168570856,22,102.0,915.0,1604.0,-27.9885617,152.9961186
Mandurah - North,WA,99.9,5.3,3.603852444121389,22,503.130000000001,1011.0,1966.0,-32.5150958,115.7409691
Casuarina - Wandi,WA,99.9,9.8,3.25644551392231,22,282.0,1063.0,1310.0,-12.3737641,130.8823639
Beaconsfield - Officer,VIC,99.9,5.2,6.73602399781838,22,282.0,1056.0,1808.0,-38.0230119,145.411509
Koo Wee Rup,VIC,99.9,4.2,1.293297689516899,22,105.0,1020.0,740.0,-38.1990553,145.492854
Pakenham - North West,VIC,99.9,9.7,14.307448494453247,22,158.0,1025.0,1012.0,-38.0806283,145.4863217
Port Macquarie - West,NSW,99.9,3.0,0.8922417280155327,22,165.0,964.0,1080.0,-31.4299499,152.9103525
Wellard (West) - Bertram,WA,99.9,5.5,17.966523605150215,22,153.0,1019.0,1234.0,-32.2639959,115.8170976
Gawler - South,SA,99.9,2.0,0.5574746483480536,22,173.0,962.0,974.0,-34.6113607,138.7498301
Virginia - Waterloo Corner,SA,99.9,12.21800000000003,1.376425855513308,22,249.0,958.0,2212.0,-34.666952,138.560977
Greenvale - Bulla,VIC,99.9,4.5,1.5850668274545272,22,189.0,1033.0,1488.0,-37.6377329,144.8810975
Wonthaggi - Inverloch,VIC,99.9,1.9,0.6318563009972802,22,159.0,986.0,1366.0,-38.6303597,145.6502622
Bargara - Burnett Heads,QLD,99.9,3.4,0.8819099929128278,22,450.0,992.0,864.0,-24.8154799,152.4630414
Sunbury - South,VIC,99.9,4.9,1.023823847912405,22,350.0,1014.0,1560.0,-32.7077041,147.594012
Heidelberg West,VIC,99.9,5.4,0.2558454251560033,18,503.130000000001,962.0,1554.0,-37.7382431,145.0433922
Urangan - Wondunna,QLD,99.9,2.7,0.9829008003880668,22,141.0,941.0,868.0,-25.287209,152.8981059
Mount Barker,SA,99.9,4.6,1.375381203215969,22,336.0,1028.0,2356.0,-35.0641302,138.8586385
Sunbury,VIC,99.9,4.1,0.4403384226393076,21,152.0,1041.0,1108.0,-37.5796938,144.7295281
Morisset - Cooranbong,NSW,99.9,4.8,0.6124424694492938,22,233.0,980.0,2188.0,-33.0841249,151.4585047
Pialba - Eli Waters,QLD,99.9,3.4,1.4077562326869806,22,216.0,927.0,956.0,-25.2841693,152.8030564
Booral - River Heads,QLD,99.9,7.4,1.77,22,198.0,965.0,1064.0,-25.353777,152.8901442
Byford,WA,99.9,5.9,5.098830269754118,22,179.0,1024.0,1488.0,-32.2160061,116.01467
Dawesville - Bouvard,WA,99.9,6.2,2.556136680613668,22,77.0,991.0,680.0,-32.6342692,115.638048
Portarlington,VIC,99.9,3.4,0.9716246290801188,21,124.0,1001.0,1876.0,-38.1156562,144.6530634
Armadale - Wungong - Brookdale,WA,99.9,4.9,0.7712840865446166,18,334.0,897.0,1684.0,-32.1733554,116.0082055
Yanchep,WA,99.9,6.6,5.326281147155618,22,353.0,981.0,1040.0,-31.54847,115.6373417
Baldivis - North,WA,99.9,10.5,20.0,22,503.130000000001,1017.0,2816.0,-32.3299121,115.8218124
Albion Park - Macquarie Pass,NSW,99.9,5.0,0.9449061777054236,22,236.0,1032.0,1440.0,-34.5708425,150.7752326
Baldivis - South,WA,99.9,4.6,11.483498349834983,22,297.0,1028.0,1836.0,-32.3595563,115.7990826
Charlemont,VIC,99.9,10.2,10.907470288624788,21,288.0,1050.0,2636.0,-38.20975,144.3686705
Delacombe,VIC,99.9,10.9,2.4348977135980747,22,169.0,982.0,1968.0,-37.584019,143.8172128
Cessnock,NSW,99.9,1.2,0.2431740177245018,18,172.0,895.0,1688.0,-32.8316667,151.3511111
Cobblebank - Strathtulloh,VIC,99.9,12.21800000000003,20.0,19,134.0,1007.0,2060.0,-37.7063004,144.6025657
Leppington - Catherine Field,NSW,99.9,12.21800000000003,3.194084628670121,18,222.0,1035.0,1348.0,-33.9650028,150.8011028
Wollert,VIC,99.8,9.2,20.0,20,503.130000000001,1002.0,3739.0800000000017,-37.5939889,145.0337333
Busselton - West,WA,99.8,2.0,0.8031395842172253,22,151.0,998.0,548.0,-33.6513267,115.3427845
Collingwood Park - Redbank,QLD,99.8,4.8,1.6555806087936866,22,138.0,944.0,952.0,-27.6048928,152.8718625
Mickleham - Yuroke,VIC,99.8,10.7,20.0,21,503.130000000001,1001.0,3739.0800000000017,-37.6020865,144.8827422
Bass Hill - Georges Hall,NSW,99.8,1.5,0.2357027788964961,19,87.0,887.0,768.0,-33.8986251,150.9974484
