sa2_name,state,erp_change_pct,growth_20yr,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,total_dwellings_2023-24,lat,lon,pressure_score,national_rank,signal
Mickleham - Yuroke,VIC,10.7,20.0,21,503.130000000001,1001.0,3739.0800000000017,-37.6020865,144.8827422,99.8,1,Critical
Wollert,VIC,9.2,20.0,20,503.130000000001,1002.0,3739.0800000000017,-37.5939889,145.0337333,99.6,2,Critical
Box Hill - Nelson,NSW,12.21800000000003,11.272030651340996,13,492.0,1106.0,3739.0800000000017,-37.8166959,145.1198034,99.6,3,Critical
Rockbank - Mount Cottrell,VIC,12.21800000000003,16.825099375354913,22,503.130000000001,1035.0,3739.0800000000017,-37.7312767,144.6607316,99.4,4,Critical
Fraser Rise - Plumpton,VIC,12.21800000000003,20.0,21,503.130000000001,1047.0,3739.0800000000017,-37.7059863,144.7174013,99.4,5,Critical
Tarneit - North,VIC,12.21800000000003,20.0,15,455.0,1032.0,3739.0800000000017,-37.8322388,144.6985802,99.3,6,Critical
Ripley,QLD,12.21800000000003,9.524497163486334,22,503.130000000001,1049.0,3739.0800000000017,-27.6712978,152.7804522,99.3,7,Critical
Caloundra West - Baringa,QLD,12.21800000000003,10.048817312531456,22,503.130000000001,1030.0,3716.0,-26.8051945,153.100046,99.2,8,Critical
Alkimos - Eglinton,WA,12.1,20.0,16,503.130000000001,1033.0,3739.0800000000017,-31.6154224,115.6926511,99.2,9,Critical
Munno Para West - Angle Vale,SA,10.9,5.225448334756618,22,503.130000000001,963.0,3739.0800000000017,-34.6572412,138.6697638,99.0,10,Critical
Werribee - West,VIC,8.6,1.8965680697762608,21,503.130000000001,1007.0,3739.0800000000017,-31.7763065,116.361842,99.0,11,Critical
Cranbourne South,VIC,12.21800000000003,4.121692019170661,21,463.0,1054.0,3739.0800000000017,-38.1577683,145.2624214,98.9,12,Critical
Whittlesea,VIC,12.21800000000003,1.7346938775510203,22,503.130000000001,1031.0,3739.0800000000017,-37.5121301,145.1177321,98.8,13,Critical
Tarneit (West) - Mount Cottrell,VIC,12.21800000000003,20.0,17,499.0,1025.0,2432.0,-37.8321522,144.69462,98.7,14,Critical
Austral - Greendale,NSW,12.21800000000003,1.1695880317070448,15,503.130000000001,995.0,3739.0800000000017,-33.9282672,150.8082824,98.4,15,Critical
Wallan,VIC,8.1,2.589238347859037,22,368.0,1017.0,3588.0,-37.4168041,145.0052646,98.3,16,Critical
Oran Park,NSW,6.8,20.0,18,458.0,1035.0,2024.0,-33.9948805,150.7402568,98.0,17,Critical
Brabham - Henley Brook,WA,10.5,12.689982728842832,19,503.130000000001,1041.0,2636.0,-31.8283583,115.9764153,97.9,18,Critical
Clyde North - South,VIC,12.21800000000003,20.0,21,503.130000000001,1046.0,3739.0800000000017,-33.732782,151.108066,97.8,19,Critical
Baldivis - North,WA,10.5,20.0,22,503.130000000001,1017.0,2816.0,-32.3299121,115.8218124,97.7,20,Critical
Greenbank - North Maclean,QLD,12.21800000000003,1.1123318810380751,22,394.0,1010.0,2364.0,-27.76144,152.996407,97.6,21,Critical
Boronia Heights - Park Ridge,QLD,7.6,1.3195885590544076,22,503.130000000001,951.0,2268.0,-27.6943327,153.0272884,97.1,22,Critical
Maroochydore - Kuluin,QLD,2.4,0.6991957104557641,22,260.0,1001.0,1376.0,-26.6603562,153.0678969,96.8,23,Critical
Wollongong - East,NSW,4.2,0.8218125960061444,21,273.0,1015.0,1048.0,-34.4253582,150.896673,96.8,24,Critical
Mount Barker,SA,4.6,1.375381203215969,22,336.0,1028.0,2356.0,-35.0641302,138.8586385,96.7,25,Critical
Beaconsfield - Officer,VIC,5.2,6.73602399781838,22,282.0,1056.0,1808.0,-38.0230119,145.411509,96.7,26,Critical
Chambers Flat - Logan Reserve,QLD,12.21800000000003,3.678538247135336,22,503.130000000001,966.0,3072.0,-27.7093986,153.0936781,96.7,27,Critical
Wyndham Vale - North,VIC,10.5,8.60453216374269,22,267.0,980.0,2764.0,-37.8722432,144.6084185,96.7,28,Critical
Marsden Park - Shanes Park,NSW,12.21800000000003,20.0,16,257.0,1089.0,2812.0,-33.6956552,150.8147975,96.7,29,Critical
