sa2_code,sa2_name,state,sa4_name,v9_score,v9_rank,high_pressure_v9,saturation_index,v10_score,v10_rank,top_3_drivers,sa4_rank,high_pressure_pct
119031664,Hurstville - Central,NSW,Sydney - Inner South West,10.284684981959174,24,1,0.021776014467986632,10.060725532993347,1,urban_renewal_score: +2.493 | total_dwellings_2024-25: +2.052 | erp_change_pct: +1.582,28,29.3
503021297,Perth (West) - Northbridge,WA,Perth - Inner,10.231898855686438,30,1,0.018233614444724117,10.045334356914438,2,urban_renewal_score: +2.408 | total_dwellings_2024-25: +2.062 | erp_change_pct: +1.522,5,50.0
206041118,Docklands,VIC,Melbourne - Inner,10.300569348515973,23,1,0.03554889973914202,9.9343954414895,3,urban_renewal_score: +2.528 | total_dwellings_2024-25: +2.014 | erp_change_pct: +1.431,4,49.1
206011496,Brunswick - South,VIC,Melbourne - Inner,10.549903996953098,6,1,0.05886152005684518,9.928920611238652,4,urban_renewal_score: +2.284 | total_dwellings_2024-25: +1.912 | erp_change_pct: +1.536,4,49.1
507021165,Fremantle,WA,Perth - South West,10.565865330292604,5,1,0.06205138317018758,9.910238772158017,5,urban_renewal_score: +2.340 | total_dwellings_2024-25: +1.856 | erp_change_pct: +1.309,31,33.3
506021123,Victoria Park - Lathlain - Burswood,WA,Perth - South East,10.17560593663921,33,1,0.026079274478128,9.910233516436328,6,urban_renewal_score: +2.648 | total_dwellings_2024-25: +2.192 | lot_approvals_2yr: +1.152,18,36.6
311041570,Jimboomba - Glenlogan,QLD,Logan - Beaudesert,10.302064448378406,22,1,0.04953491440243672,9.791752567759595,7,urban_renewal_score: +2.169 | total_dwellings_2024-25: +2.064 | erp_change_pct: +1.349,10,37.1
502011027,Mandurah - North,WA,Mandurah,10.608589407089704,4,1,0.08187490643313938,9.74001214199664,8,urban_renewal_score: +2.196 | total_dwellings_2024-25: +1.928 | erp_change_pct: +1.556,1,88.9
309101561,Surfers Paradise - North,QLD,Gold Coast,10.33126275878788,18,1,0.05872717800400853,9.72453685174636,9,urban_renewal_score: +2.380 | total_dwellings_2024-25: +2.128 | erp_change_pct: +1.388,9,40.7
210041540,Sunbury - South,VIC,Melbourne - North West,10.523307491601429,8,1,0.07601038196503895,9.723426869629249,10,urban_renewal_score: +2.149 | total_dwellings_2024-25: +1.971 | erp_change_pct: +1.543,26,26.3
206031115,Flemington,VIC,Melbourne - Inner,10.010485095699252,56,1,0.029864705377961178,9.711524907625723,11,urban_renewal_score: +2.595 | total_dwellings_2024-25: +2.206 | erp_change_pct: +1.435,4,49.1
311041569,Greenbank - North Maclean,QLD,Logan - Beaudesert,10.721771712550288,3,1,0.09659411152114139,9.686111700043986,12,urban_renewal_score: +2.044 | total_dwellings_2024-25: +2.020 | erp_change_pct: +1.464,10,37.1
311041568,Flagstone (West) - New Beith,QLD,Logan - Beaudesert,10.244153046638868,27,1,0.05493295880493774,9.681411409336377,13,urban_renewal_score: +2.073 | total_dwellings_2024-25: +2.039 | erp_change_pct: +1.476,10,37.1
505031257,Two Rocks,WA,Perth - North West,10.115195931715055,44,1,0.04337413632356921,9.676458044433234,14,urban_renewal_score: +2.044 | total_dwellings_2024-25: +2.035 | erp_change_pct: +1.513,22,30.4
126021500,Macquarie Park - Marsfield,NSW,Sydney - Ryde,10.723039238181796,2,1,0.10119271004265631,9.63794583777644,15,urban_renewal_score: +2.377 | total_dwellings_2024-25: +1.864 | erp_change_pct: +1.505,3,69.2
506011110,Armadale - Wungong - Brookdale,WA,Perth - South East,10.28140749770501,26,1,0.06496431945353184,9.613482856592164,16,urban_renewal_score: +2.174 | total_dwellings_2024-25: +2.033 | erp_change_pct: +1.483,18,36.6
319011493,Bargara - Burnett Heads,QLD,Wide Bay,10.077003765472556,49,1,0.04627192504656895,9.610721402542616,17,urban_renewal_score: +2.268 | total_dwellings_2024-25: +2.106 | lot_approvals_2yr: +1.147,25,34.3
305011108,Kangaroo Point,QLD,Brisbane Inner City,10.348888702443489,16,1,0.07220285129627826,9.601669430379228,18,urban_renewal_score: +2.467 | total_dwellings_2024-25: +1.926 | erp_change_pct: +1.304,11,39.4
125031714,Merrylands - Holroyd,NSW,Sydney - Parramatta,10.338111000821456,17,1,0.07188897714063375,9.59491477540607,19,urban_renewal_score: +2.609 | total_dwellings_2024-25: +2.015 | erp_change_pct: +1.226,12,41.2
107011132,Horsley - Kembla Grange,NSW,Illawarra,10.105031542552728,46,1,0.05178917452456652,9.581700300419214,20,urban_renewal_score: +2.155 | total_dwellings_2024-25: +2.077 | erp_change_pct: +1.351,40,25.0
207011520,Hawthorn - South,VIC,Melbourne - Inner East,10.14590461777396,38,1,0.057287504920104294,9.564671057064325,21,urban_renewal_score: +2.750 | total_dwellings_2024-25: +1.977 | erp_change_pct: +1.424,15,44.0
107031136,Albion Park - Macquarie Pass,NSW,Illawarra,10.16846842086444,35,1,0.06169395585134666,9.541135379031816,22,urban_renewal_score: +2.074 | total_dwellings_2024-25: +2.035 | erp_change_pct: +1.498,40,25.0
106021618,Thornton - Millers Forest,NSW,Hunter Valley exc Newcastle,10.15915129255942,36,1,0.06398177694299757,9.509150740628717,23,urban_renewal_score: +2.178 | total_dwellings_2024-25: +1.971 | erp_change_pct: +1.543,17,40.0
119041671,Wolli Creek,NSW,Sydney - Inner South West,9.846952644337586,72,1,0.037734423315629505,9.475383564887194,24,urban_renewal_score: +2.502 | total_dwellings_2024-25: +2.085 | erp_change_pct: +1.435,28,29.3
126021503,West Ryde - Meadowbank,NSW,Sydney - Ryde,9.863500128195142,70,1,0.0395938679799407,9.472966006299256,25,urban_renewal_score: +2.851 | total_dwellings_2024-25: +2.160 | lot_approvals_2yr: +1.240,3,69.2
507051312,Baldivis - North,WA,Perth - South West,10.531353025332,7,1,0.10145352517738664,9.462910136024535,26,urban_renewal_score: +2.158 | total_dwellings_2024-25: +1.931 | erp_change_pct: +1.564,31,33.3
507031169,Wellard (West) - Bertram,WA,Perth - South West,9.932909867247009,64,1,0.048698621021384045,9.449190853982381,27,urban_renewal_score: +2.182 | total_dwellings_2024-25: +1.957 | erp_change_pct: +1.580,31,33.3
303031064,Rochedale - Burbank,QLD,Brisbane - South,10.216841065815196,31,1,0.07646567208093114,9.43560344717358,28,urban_renewal_score: +2.169 | total_dwellings_2024-25: +1.936 | erp_change_pct: +1.577,23,29.4
125041717,Parramatta - North,NSW,Sydney - Parramatta,10.390230802694155,12,1,0.09239791325522871,9.430195158285015,29,urban_renewal_score: +2.360 | total_dwellings_2024-25: +1.862 | erp_change_pct: +1.574,12,41.2
213031348,Footscray,VIC,Melbourne - West,10.415043004217273,11,1,0.0948525544833092,9.427149570213745,30,urban_renewal_score: +2.488 | total_dwellings_2024-25: +1.913 | erp_change_pct: +1.371,8,37.7
507051313,Baldivis - South,WA,Perth - South West,10.130956915850016,42,1,0.07372748949029638,9.384026896310038,31,urban_renewal_score: +2.221 | total_dwellings_2024-25: +1.930 | erp_change_pct: +1.555,31,33.3
313041374,Morayfield,QLD,Moreton Bay - North,10.033602546612206,53,1,0.06574110719935566,9.373982405999644,32,total_dwellings_2024-25: +2.172 | urban_renewal_score: +2.084 | erp_change_pct: +1.401,2,63.6
313021572,Caboolture - East,QLD,Moreton Bay - North,9.824945354822152,74,1,0.0463216735093425,9.36983744384895,33,urban_renewal_score: +2.531 | total_dwellings_2024-25: +2.019 | lot_approvals_2yr: +1.157,2,63.6
507031261,Casuarina - Wandi,WA,Perth - South West,9.974673225851094,60,1,0.060794253395622444,9.36827041422017,34,urban_renewal_score: +2.134 | total_dwellings_2024-25: +1.989 | erp_change_pct: +1.555,31,33.3
311021310,Wolffdene - Bahrs Scrub,QLD,Logan - Beaudesert,9.889110435560587,69,1,0.053848108077317394,9.356600548037994,35,total_dwellings_2024-25: +2.091 | urban_renewal_score: +2.012 | erp_change_pct: +1.520,10,37.1
106011107,Branxton - Greta - Pokolbin,NSW,Hunter Valley exc Newcastle,10.153219837082847,37,1,0.08079507132020843,9.332889716215984,36,urban_renewal_score: +2.126 | total_dwellings_2024-25: +1.970 | erp_change_pct: +1.470,17,40.0
503021042,Subiaco - Shenton Park,WA,Perth - Inner,10.010708148632638,55,1,0.06814477020736232,9.328530742231097,37,urban_renewal_score: +2.810 | total_dwellings_2024-25: +2.039 | lot_approvals_2yr: +1.135,5,50.0
402021035,Virginia - Waterloo Corner,SA,Adelaide - North,10.1746220171501,34,1,0.0845343168893082,9.3145172953234,38,total_dwellings_2024-25: +2.065 | urban_renewal_score: +1.946 | erp_change_pct: +1.472,24,33.3
506021118,Belmont - Ascot - Redcliffe,WA,Perth - South East,9.563375211765834,89,1,0.0260653698172214,9.31410230017031,39,urban_renewal_score: +3.096 | total_dwellings_2024-25: +2.399 | lot_approvals_2yr: +1.322,18,36.6
213031349,Maribyrnong,VIC,Melbourne - West,9.764081472225987,79,1,0.046429065718126813,9.310744291874864,40,urban_renewal_score: +2.934 | total_dwellings_2024-25: +2.057 | lot_approvals_2yr: +1.144,8,37.7
310041302,Redbank Plains,QLD,Ipswich,10.140249943797013,40,1,0.0834575559622745,9.293969466641123,41,urban_renewal_score: +2.275 | total_dwellings_2024-25: +1.952 | erp_change_pct: +1.206,33,33.3
505031306,Wanneroo - Sinagra,WA,Perth - North West,9.646428307288632,85,1,0.03682098473738217,9.291237317815707,42,urban_renewal_score: +2.701 | total_dwellings_2024-25: +2.261 | lot_approvals_2yr: +1.269,22,30.4
311031311,Boronia Heights - Park Ridge,QLD,Logan - Beaudesert,10.13185052560116,41,1,0.08505210391419735,9.270115321854616,43,urban_renewal_score: +2.016 | total_dwellings_2024-25: +2.007 | erp_change_pct: +1.542,10,37.1
210051246,Greenvale - Bulla,VIC,Melbourne - North West,9.976344352939124,59,1,0.07159734719103825,9.262064562604388,44,urban_renewal_score: +2.220 | total_dwellings_2024-25: +1.987 | erp_change_pct: +1.467,26,26.3
314021578,Mango Hill,QLD,Moreton Bay - South,9.900947716575825,68,1,0.06467399798382528,9.26061384391604,45,urban_renewal_score: +2.265 | total_dwellings_2024-25: +2.108 | erp_change_pct: +1.192,16,46.7
