gccsa_code,gccsa_name,sa4_code,sa4_name,sa3_code,sa3_name,sa2_code,sa2_name,erp_2023,erp_2024,erp_change_no,erp_change_pct,natural_increase,net_internal_migration,net_overseas_migration,area_km2,pop_density_2024,state,total_dwellings_2022-23,total_dwellings_2023-24,total_dwellings_2024-25,total_value_m_2022-23,total_value_m_2023-24,total_value_m_2024-25,approval_growth_rate,dwellings_2526_fytd,growth_20yr,growth_10yr,growth_5yr,growth_acceleration,years_of_growth,seifa_disadvantage_score,seifa_adv_disadv_score,seifa_economic_score,seifa_education_score,high_pressure,SA2_CODE21,parcel_count,lot_density,land_fragmentation,pressure_score,national_rank,signal,lat,lon
1RNSW,Rest of NSW,101.0,Capital Region,10102.0,Queanbeyan,101021008,Karabar,8481.0,8446.0,-35.0,-0.4,82.0,-169.0,52.0,7.0,1209.6,NSW,18.0,12.0,22.0,0.006461812,0.0029,0.012582158,-0.3157894736842105,0.0,-0.0748083242059145,-0.0326385707741639,-0.0063521938595459,0.009967091527536,7,994.0,982.0,1000.0,967.0,0,0,0.0,0.0,0.0,16.4,2041,Moderate,-35.3759426,149.2328718
1RNSW,Rest of NSW,101.0,Capital Region,10102.0,Queanbeyan,101021009,Queanbeyan,11418.0,11373.0,-45.0,-0.4,46.0,-251.0,160.0,4.8,2388.3,NSW,128.0,20.0,140.0,0.044835488,0.0096356,0.059770152,-0.8372093023255814,67.0,0.1704054332167112,0.0155357142857142,-0.0082831981864155,-0.0160510553292726,18,1010.0,998.0,945.0,1000.0,0,0,0.0,0.0,0.0,49.9,1216,Moderate,-35.3524518,149.2337634
1RNSW,Rest of NSW,101.0,Capital Region,10102.0,Queanbeyan,101021010,Queanbeyan - East,5097.0,5132.0,35.0,0.7,64.0,-111.0,82.0,13.0,394.7,NSW,4.0,8.0,594.0,0.00034,0.0118,0.237269068,0.8,9.0,0.3074375955170657,0.0332125603864734,0.0011702750146284,-0.0154360051786082,16,1025.0,1015.0,969.0,1025.0,1,0,0.0,0.0,0.0,82.6,425,Moderate,-35.3455488,149.2465067
1RNSW,Rest of NSW,101.0,Capital Region,10102.0,Queanbeyan,101021012,Queanbeyan West - Jerrabomberra,12871.0,12877.0,6.0,0.0,110.0,-232.0,128.0,13.7,941.7,NSW,28.0,36.0,80.0,0.01657692,0.0112,0.027536,0.2758620689655172,2.0,0.3662210906004668,-0.0239502804304987,-0.0060203766594627,0.0059547635557865,13,1098.0,1107.0,1109.0,1080.0,0,0,0.0,0.0,0.0,37.0,1527,Moderate,-35.3719059,149.1928557
1RNSW,Rest of NSW,101.0,Capital Region,10102.0,Queanbeyan,101021610,Googong,7348.0,8497.0,1149.0,15.6,170.0,918.0,61.0,6.9,1228.5,NSW,1984.0,1864.0,1304.0,0.739875004,0.783762936,0.593319452,-0.0604534005037783,86.0,20.0,10.0,0.8901245551601423,-4.109875444839858,21,1128.0,1154.0,1165.0,1127.0,1,0,0.0,0.0,0.0,93.6,157,High,-35.422209,149.2363805
1RNSW,Rest of NSW,101.0,Capital Region,10102.0,Queanbeyan,101021611,Queanbeyan Surrounds,17271.0,17664.0,393.0,2.3,118.0,206.0,69.0,3047.7,5.8,NSW,1220.0,1040.0,840.0,0.5095846839999999,0.4908225799999999,0.459534368,-0.1474201474201474,75.0,0.7245924045689739,0.1328801385236965,0.0986379749984451,0.0321979057365969,21,1098.0,1105.0,1135.0,1073.0,1,0,0.0,0.0,0.0,88.3,284,Moderate,,
1RNSW,Rest of NSW,101.0,Capital Region,10103.0,Snowy Mountains,101031013,Bombala,2467.0,2469.0,2.0,0.1,7.0,-8.0,3.0,3990.1,0.6,NSW,28.0,156.0,20.0,0.00976712,0.081803562,0.0098,4.413793103448276,2.0,-0.0583301563095692,0.0131255127153404,0.0085749285422621,0.0020121721845919,8,965.0,935.0,976.0,919.0,0,0,0.0,0.0,0.0,15.5,2044,Moderate,-36.9113175,149.2389375
1RNSW,Rest of NSW,101.0,Capital Region,10103.0,Snowy Mountains,101031014,Cooma,6780.0,6716.0,-64.0,-0.9,7.0,-148.0,77.0,103.6,64.8,NSW,32.0,28.0,12.0,0.012546748,0.015191752,0.0103092,-0.1212121212121212,14.0,-0.0287738577212261,-0.0286334056399132,-0.0231239092495637,-0.008807206429607,8,982.0,953.0,964.0,943.0,0,0,0.0,0.0,0.0,12.1,2125,Moderate,-36.2356785,149.1261779
1RNSW,Rest of NSW,101.0,Capital Region,10103.0,Snowy Mountains,101031015,Cooma Surrounds,3538.0,3554.0,16.0,0.5,15.0,-6.0,7.0,6251.0,0.6,NSW,56.0,44.0,52.0,0.025262592,0.029560628,0.02674606,-0.2105263157894736,3.0,0.2120695533583362,0.0753176043557168,0.0527095054782351,0.0150507033003766,22,1039.0,1007.0,1066.0,985.0,0,0,0.0,0.0,0.0,28.1,1745,Moderate,,
1RNSW,Rest of NSW,101.0,Capital Region,10103.0,Snowy Mountains,101031016,Jindabyne - Berridale,8380.0,8557.0,177.0,2.1,28.0,58.0,91.0,3939.8,2.2,NSW,416.0,416.0,252.0,0.181318332,0.2157375279999999,0.1567555,0.0,19.0,0.3494165878271839,0.2246708643388666,0.1297689768976897,0.0174335447282564,21,1054.0,1025.0,1016.0,1001.0,0,0,0.0,0.0,0.0,65.8,833,Moderate,-36.3656611,148.8279507
