sa2_code,sa2_name,state,sa4_name,erp_change_pct,years_of_growth,growth_20yr,dwellings_2526_fytd,high_pressure,urban_renewal_score,pressure_score,national_rank,signal
101021008,Karabar,NSW,Capital Region,-0.4,7,-0.0748083242059145,0.0,0,0.009238783357242325,7.8,2292,Moderate
101021009,Queanbeyan,NSW,Capital Region,-0.4,18,0.1704054332167112,67.0,0,0.07797539866415236,22.1,1639,Moderate
101021010,Queanbeyan - East,NSW,Capital Region,0.7,16,0.3074375955170657,9.0,1,0.8398951577182155,49.2,447,Moderate
101021012,Queanbeyan West - Jerrabomberra,NSW,Capital Region,0.0,13,0.3662210906004668,2.0,0,0.049753086419753095,16.7,1951,Moderate
101021610,Googong,NSW,Capital Region,15.6,21,20.0,86.0,1,0.5013487566331357,79.7,155,High
101021611,Queanbeyan Surrounds,NSW,Capital Region,2.3,21,0.7245924045689739,75.0,1,0.32284119031420566,57.0,324,Moderate
101031013,Bombala,NSW,Capital Region,0.1,8,-0.0583301563095692,2.0,0,0.045223146045648664,10.6,2216,Moderate
101031014,Cooma,NSW,Capital Region,-0.9,8,-0.0287738577212261,14.0,0,0.0070925196839092645,6.9,2312,Moderate
101031015,Cooma Surrounds,NSW,Capital Region,0.5,22,0.2120695533583362,3.0,0,0.017426560604670596,23.8,1537,Moderate
101031016,Jindabyne - Berridale,NSW,Capital Region,2.1,21,0.3494165878271839,19.0,0,0.10119735949838528,35.5,845,Moderate
101041017,Batemans Bay,NSW,Capital Region,-0.1,20,0.323646375038238,28.0,0,0.05651489218031817,22.3,1620,Moderate
101041018,Batemans Bay - South,NSW,Capital Region,0.4,17,0.2439994513784117,27.0,0,0.1298814982121148,28.7,1210,Moderate
101041019,Bega - Tathra,NSW,Capital Region,0.9,22,0.1363349728843486,32.0,0,0.14976967543767417,35.6,841,Moderate
101041020,Bega-Eden Hinterland,NSW,Capital Region,1.2,16,0.1654804270462633,19.0,0,0.05262327295603743,24.1,1528,Moderate
101041021,Broulee - Tomakin,NSW,Capital Region,2.1,20,0.4909021986353298,14.0,0,0.030110727140195234,27.4,1308,Moderate
101041022,Deua - Wadbilliga,NSW,Capital Region,0.0,10,0.0769230769230769,0.0,0,0.0023094010767585036,12.0,2161,Moderate
101041023,Eden,NSW,Capital Region,1.0,14,0.0279263220439691,1.0,0,0.2176145856587406,24.4,1510,Moderate
101041024,Eurobodalla Hinterland,NSW,Capital Region,2.5,18,0.2094771241830065,7.0,0,0.016038412105278704,26.0,1402,Moderate
101041025,Merimbula - Tura Beach,NSW,Capital Region,0.2,22,0.3343671031472547,17.0,0,0.19757710734144773,31.5,1047,Moderate
101041026,Moruya - Tuross Head,NSW,Capital Region,0.5,20,0.1701697655618431,41.0,0,0.0720193813971477,26.5,1361,Moderate
101041027,Narooma - Bermagui,NSW,Capital Region,0.7,18,0.1533678756476684,25.0,0,0.11030731771151062,26.5,1360,Moderate
101051539,Goulburn,NSW,Capital Region,1.2,18,0.1791156050510227,137.0,1,0.41013243457583914,49.1,448,Moderate
101051540,Goulburn Surrounds,NSW,Capital Region,1.0,22,0.3154059040590405,54.0,0,0.10759263953843526,35.3,852,Moderate
101061541,Yass,NSW,Capital Region,0.1,21,0.2758749766049036,18.0,0,0.07392217729550439,24.6,1500,Moderate
101061542,Yass Surrounds,NSW,Capital Region,1.8,22,0.5980142874440005,46.0,1,0.18504946961118465,42.5,611,Moderate
101061543,Young,NSW,Capital Region,0.1,19,0.1182225845902976,28.0,0,0.06628854228427802,24.6,1501,Moderate
101061544,Young Surrounds,NSW,Capital Region,0.7,12,0.0142279075838663,11.0,0,0.03334632301492381,17.0,1930,Moderate
102011028,Avoca Beach - Copacabana,NSW,Central Coast,1.0,14,0.066338028169014,12.0,0,0.08170983926574366,21.7,1663,Moderate
102011029,Box Head - MacMasters Beach,NSW,Central Coast,0.6,18,0.1043923576915501,11.0,0,0.038690932245237314,23.2,1572,Moderate
102011030,Calga - Kulnura,NSW,Central Coast,0.4,7,-0.0206508135168961,4.0,0,0.011136543198746322,10.0,2236,Moderate
102011031,Erina - Green Point,NSW,Central Coast,0.0,18,0.1134622677284793,7.0,0,0.1191353420633769,21.6,1673,Moderate
102011032,Gosford - Springfield,NSW,Central Coast,2.3,22,0.4065222803086881,33.0,1,1.0739338592790477,80.0,154,High
102011033,Kariong,NSW,Central Coast,0.4,6,-0.0103674340600701,6.0,0,0.01888922722140629,10.1,2231,Moderate
102011034,Kincumber - Picketts Valley,NSW,Central Coast,-0.1,14,0.0370218579234972,3.0,0,0.016839337387264952,14.6,2051,Moderate
102011035,Narara,NSW,Central Coast,0.6,16,0.0436203466894003,7.0,0,0.02425765763507554,19.7,1785,Moderate
102011036,Niagara Park - Lisarow,NSW,Central Coast,0.1,15,0.1257150640152547,4.0,0,0.010679867548216601,15.7,2002,Moderate
102011037,Point Clare - Koolewong,NSW,Central Coast,0.5,12,0.0428526743822333,2.0,0,0.00989849939951952,14.8,2043,Moderate
102011038,Saratoga - Davistown,NSW,Central Coast,0.9,18,0.1255935058967682,5.0,0,0.025733882030178328,21.5,1677,Moderate
102011039,Terrigal - North Avoca,NSW,Central Coast,1.4,21,0.3026748797569825,21.0,1,0.39528636311571064,46.6,509,Moderate
102011040,Umina - Booker Bay - Patonga,NSW,Central Coast,0.4,18,0.1131487581233864,56.0,1,0.22181571886628357,42.2,621,Moderate
102011041,Wamberal - Forresters Beach,NSW,Central Coast,0.7,18,0.2016592920353982,17.0,0,0.026986823893972067,22.2,1630,Moderate
102011042,Woy Woy - Blackwall,NSW,Central Coast,0.8,18,0.1170376055257099,42.0,0,0.10704678832296055,26.8,1340,Moderate
102011043,Wyoming,NSW,Central Coast,0.3,9,-0.0342360756259581,2.0,0,0.009202885978590326,11.8,2169,Moderate
102021044,Bateau Bay - Killarney Vale,NSW,Central Coast,0.3,17,0.0723414179104477,20.0,0,0.0707423274916138,24.1,1526,Moderate
102021045,Blue Haven - San Remo,NSW,Central Coast,0.5,20,0.2896459882365997,14.0,0,0.15733845285980727,29.5,1163,Moderate
102021046,Budgewoi - Buff Point - Halekulani,NSW,Central Coast,0.6,17,0.1044875346260387,17.0,0,0.04794354414894551,22.2,1633,Moderate
102021047,Chittaway Bay - Tumbi Umbi,NSW,Central Coast,0.8,15,0.0799656629688325,31.0,0,0.12251807537432298,27.8,1268,Moderate
102021048,Gorokan - Kanwal - Charmhaven,NSW,Central Coast,0.5,14,0.1002467463350912,25.0,0,0.07300377887736793,21.9,1648,Moderate
102021049,Jilliby - Yarramalong,NSW,Central Coast,1.9,16,0.1842629482071713,2.0,0,0.011558299039780522,22.1,1641,Moderate
