erp_2023,erp_change_pct,net_internal_migration,net_overseas_migration,pop_density_2024,total_dwellings_2022-23,total_dwellings_2023-24,total_value_m_2022-23,total_value_m_2023-24,approval_growth_rate,growth_20yr,growth_10yr,growth_5yr,growth_acceleration,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,seifa_adv_disadv_score,seifa_economic_score,seifa_education_score,high_pressure,sa2_name,state,pressure_score
8481.0,-0.4,-169.0,52.0,1209.6,18.0,12.0,0.006461812,0.0029,-0.3157894736842105,-0.07480832420591457,-0.032638570774163995,-0.006352193859545936,0.00996709152753606,7,0.0,994.0,982.0,1000.0,967.0,0,Karabar,NSW,0.1
11418.0,-0.4,-251.0,160.0,2388.3,128.0,20.0,0.044835488,0.009635600000000001,-0.8372093023255814,0.17040543321671126,0.015535714285714286,-0.008283198186415555,-0.016051055329272697,18,67.0,1010.0,998.0,945.0,1000.0,0,Queanbeyan,NSW,1.5
5097.0,0.7,-111.0,82.0,394.7,4.0,8.0,0.00034,0.0118,0.8,0.30743759551706573,0.03321256038647343,0.0011702750146284377,-0.015436005178608278,16,9.0,1025.0,1015.0,969.0,1025.0,1,Queanbeyan - East,NSW,0.4
12871.0,0.0,-232.0,128.0,941.7,28.0,36.0,0.01657692,0.0112,0.27586206896551724,0.3662210906004668,-0.02395028043049871,-0.006020376659462797,0.005954763555786558,13,2.0,1098.0,1107.0,1109.0,1080.0,0,Queanbeyan West - Jerrabomberra,NSW,0.1
7348.0,12.21800000000003,918.0,61.0,1228.5,1984.0,1864.0,0.739875004,0.783762936,-0.060453400503778336,20.0,10.0,0.8901245551601423,-2.424852180209458,21,86.0,1118.0,1154.0,1144.0,1127.0,1,Googong,NSW,97.4
17271.0,2.3,206.0,69.0,5.8,1220.0,1040.0,0.5095846839999999,0.49082257999999995,-0.14742014742014742,0.7245924045689739,0.13288013852369654,0.09863797499844518,0.03219790573659691,21,75.0,1098.0,1105.0,1135.0,1073.0,1,Queanbeyan Surrounds,NSW,99.1
2467.0,0.1,-8.0,3.0,0.6,28.0,156.0,0.00976712,0.08180356200000001,4.413793103448276,-0.0583301563095692,0.013125512715340444,0.008574928542262147,0.0020121721845919255,8,2.0,965.0,935.0,976.0,919.0,0,Bombala,NSW,0.1
6780.0,-0.9,-148.0,77.0,64.8,32.0,28.0,0.012546748,0.015191752000000001,-0.12121212121212122,-0.02877385772122614,-0.02863340563991323,-0.0231239092495637,-0.008807206429607086,8,14.0,982.0,953.0,964.0,943.0,0,Cooma,NSW,0.1
3538.0,0.5,-6.0,7.0,0.6,56.0,44.0,0.025262592,0.029560628,-0.21052631578947367,0.2120695533583362,0.07531760435571688,0.05270950547823512,0.01505070330037668,22,3.0,1039.0,1007.0,1066.0,985.0,0,Cooma Surrounds,NSW,0.0
8380.0,2.1,58.0,91.0,2.2,416.0,416.0,0.181318332,0.21573752799999998,0.0,0.3494165878271839,0.22467086433886663,0.12976897689768976,0.01743354472825645,21,19.0,1054.0,1025.0,1016.0,1001.0,0,Jindabyne - Berridale,NSW,10.2
8663.0,-0.1,-3.0,26.0,135.8,240.0,184.0,0.131740136,0.08690482399999999,-0.23236514522821577,0.323646375038238,0.10934495577490065,0.044034262275304624,-0.010638215612145702,20,28.0,946.0,909.0,957.0,894.0,0,Batemans Bay,NSW,3.8
9030.0,0.4,55.0,26.0,296.4,452.0,328.0,0.20539322399999999,0.197301708,-0.2737306843267108,0.24399945137841175,0.0629321457869448,0.04505127318815532,0.013585200294682923,17,27.0,989.0,954.0,986.0,947.0,0,Batemans Bay - South,NSW,33.5
8926.0,0.9,74.0,25.0,49.0,384.0,188.0,0.15789219999999998,0.092318868,-0.509090909090909,0.1363349728843486,0.05987530878720151,0.02912621359223301,-0.0008114408013677431,22,32.0,975.0,942.0,976.0,941.0,0,Bega - Tathra,NSW,0.3
9710.0,1.2,67.0,47.0,2.1,200.0,156.0,0.08528208400000001,0.059756460000000004,-0.21890547263681592,0.16548042704626334,0.09203067689229744,0.06296656929568321,0.016951230849534496,16,19.0,991.0,954.0,1007.0,958.0,0,Bega-Eden Hinterland,NSW,0.4
3852.0,2.1,88.0,15.0,162.3,116.0,96.0,0.057743012,0.052314667999999995,-0.17094017094017094,0.4909021986353298,0.24226152874289325,0.09645943685531085,-0.02467132751613578,20,14.0,1034.0,1002.0,1012.0,1011.0,0,Broulee - Tomakin,NSW,0.7
41.0,0.0,0.0,0.0,0.0,8.0,0.0,0.00344,0.0,-0.8888888888888888,0.07692307692307693,0.024390243902439025,0.16666666666666666,0.1251194792093158,10,0.0,1025.0,929.0,989.0,993.0,0,Deua - Wadbilliga,NSW,0.0
3424.0,1.0,38.0,6.0,36.5,40.0,582.0,0.018861308,0.13163817599999997,10.0,0.027926322043969103,0.04500151011778919,0.038103810381038106,0.015603055322143511,14,1.0,910.0,880.0,931.0,861.0,0,Eden,NSW,5.5
3611.0,2.5,74.0,9.0,2.5,64.0,72.0,0.042678488,0.033187728,0.12307692307692308,0.20947712418300654,0.10775217000897935,0.08693098384728341,0.03305489884279374,18,7.0,995.0,954.0,1008.0,945.0,0,Eurobodalla Hinterland,NSW,0.1
11597.0,0.2,38.0,51.0,119.3,208.0,604.0,0.10829769200000001,0.227215856,1.894736842105263,0.33436710314725476,0.10291464919775942,0.030241220290883292,-0.021216104307996416,22,17.0,1012.0,970.0,996.0,960.0,0,Merimbula - Tura Beach,NSW,11.1
8641.0,0.5,33.0,28.0,52.5,176.0,80.0,0.09511738,0.041037399999999995,-0.5423728813559322,0.17016976556184316,0.09465591126796068,0.0380064539261384,-0.00932150170784194,20,41.0,993.0,949.0,991.0,945.0,0,Moruya - Tuross Head,NSW,0.3
9947.0,0.7,153.0,31.0,39.6,356.0,168.0,0.124582056,0.076110232,-0.5266106442577031,0.1533678756476684,0.10489741892786235,0.04977992035212744,-0.0026687891118037377,18,25.0,986.0,946.0,976.0,953.0,0,Narooma - Bermagui,NSW,0.6
25014.0,1.2,69.0,210.0,390.6,960.0,240.0,0.30052944,0.114631212,-0.7492195629552549,0.17911560505102278,0.10511835094768102,0.039390454284071307,-0.013168721189769202,18,137.0,957.0,933.0,964.0,918.0,1,Goulburn,NSW,95.8
14120.0,1.0,77.0,45.0,1.6,376.0,328.0,0.172843552,0.163691592,-0.1273209549071618,0.31540590405904056,0.1376256582096697,0.0656154248561393,-0.003197404248695551,22,54.0,1017.0,987.0,1042.0,965.0,0,Goulburn Surrounds,NSW,10.4
6807.0,0.1,-12.0,30.0,68.3,92.0,224.0,0.046590271999999995,0.10277068,1.4193548387096775,0.2758749766049036,0.030848329048843187,0.0067936789248264655,-0.008630485599595127,21,18.0,1018.0,992.0,1025.0,978.0,0,Yass,NSW,1.3
12966.0,1.8,120.0,57.0,2.3,372.0,260.0,0.24394033199999998,0.170876948,-0.3002680965147453,0.5980142874440005,0.15055356987185076,0.07756368386675376,0.002286898930828382,22,46.0,1086.0,1092.0,1126.0,1079.0,1,Yass Surrounds,NSW,88.9
10955.0,0.1,-88.0,54.0,21.7,144.0,206.0,0.072132488,0.08507947199999999,0.42758620689655175,0.1182225845902976,0.023985067662155857,-0.0028174134327001725,-0.0148099472637781,19,28.0,940.0,912.0,957.0,904.0,0,Young,NSW,1.6
7718.0,0.7,20.0,20.0,1.3,64.0,112.0,0.026558116000000003,0.046305047999999994,0.7384615384615385,0.014227907583866335,0.0369678366475377,0.0299575821845175,0.011473663860748648,12,11.0,970.0,948.0,993.0,956.0,0,Young Surrounds,NSW,0.1
7493.0,1.0,-37.0,91.0,1175.9,260.0,100.0,0.147559532,0.08745088399999999,-0.6130268199233716,0.06633802816901409,0.009063041450086632,-0.009679529103989535,-0.014211049829032851,14,12.0,1079.0,1084.0,1103.0,1084.0,0,Avoca Beach - Copacabana,NSW,0.6
11146.0,0.6,-33.0,80.0,349.5,128.0,100.0,0.09015764800000002,0.081056584,-0.21705426356589147,0.10439235769155013,0.03145695364238411,0.010725552050473186,-0.005002924770718868,18,11.0,1064.0,1051.0,1074.0,1046.0,0,Box Head - MacMasters Beach,NSW,3.9
4675.0,0.4,-32.0,32.0,6.1,40.0,24.0,0.034980364,0.018772148000000002,-0.3902439024390244,-0.02065081351689612,-0.010954286918053507,-0.024719567926879935,-0.01924242446785318,7,4.0,1027.0,1021.0,1051.0,1003.0,0,Calga - Kulnura,NSW,0.0
14676.0,0.0,60.0,130.0,434.4,72.0,388.0,0.049353624000000006,0.22928423199999998,4.328767123287672,0.11346226772847934,0.03067958438640831,-0.009713322091062395,-0.02505311428426655,18,7.0,1033.0,1028.0,1047.0,1011.0,0,Erina - Green Point,NSW,7.1
22083.0,2.3,103.0,305.0,1336.2,3817.4400000000023,500.0,1.5111555952400206,0.20467372,-0.9185233371279883,0.4065222803086881,0.18653856250328135,0.10551288949762755,0.012243608245986873,22,33.0,983.0,986.0,939.0,1016.0,1,Gosford - Springfield,NSW,98.3
6464.0,0.4,-81.0,40.0,781.3,40.0,12.0,0.012388399999999999,0.001604,-0.6829268292682927,-0.010367434060070133,-0.021555622550497436,-0.012174707046111703,-0.001396895770862985,6,6.0,1035.0,1012.0,1054.0,987.0,0,Kariong,NSW,0.0
7598.0,-0.1,-33.0,45.0,647.8,48.0,16.0,0.019827548,0.027611592,-0.6530612244897959,0.03702185792349727,0.022219229733369244,-0.004067173970086591,-0.015176788836771213,14,3.0,1013.0,992.0,1019.0,986.0,0,Kincumber - Picketts Valley,NSW,0.1
7303.0,0.6,-63.0,55.0,953.5,72.0,44.0,0.025001595999999997,0.015981707999999997,-0.3835616438356164,0.043620346689400395,0.08030592734225621,0.04007363353157746,-7.933013955064433e-05,16,7.0,1026.0,1006.0,1046.0,991.0,0,Narara,NSW,0.3
8253.0,0.1,-37.0,41.0,493.9,48.0,24.0,0.023751051999999998,0.008665604,-0.4897959183673469,0.1257150640152547,0.002547307132459971,0.0029122679286494356,0.0016386143624194502,15,4.0,1040.0,1024.0,1062.0,1005.0,0,Niagara Park - Lisarow,NSW,0.0
6632.0,0.5,12.0,48.0,983.4,36.0,24.0,0.014316259999999999,0.012960815999999998,-0.32432432432432434,0.04285267438223334,0.03556452865351763,0.023641387780165796,0.005859123453406983,12,2.0,1033.0,1025.0,1017.0,1028.0,0,Point Clare - Koolewong,NSW,0.2
7282.0,0.9,1.0,49.0,1541.0,112.0,72.0,0.05873382800000001,0.03878776799999999,-0.35398230088495575,0.12559350589676826,0.03902163155662378,0.014074789568097143,-0.0054360262102147484,18,5.0,1056.0,1028.0,1060.0,1000.0,0,Saratoga - Davistown,NSW,0.3
15230.0,1.4,-78.0,224.0,1473.1,216.0,84.0,0.132643416,0.053374804000000005,-0.6082949308755761,0.30267487975698254,0.13933579335793359,0.06161463347545042,-0.008053263203516375,21,21.0,1078.0,1085.0,1078.0,1078.0,1,Terrigal - North Avoca,NSW,83.8
24917.0,0.4,-14.0,190.0,991.2,744.0,804.0,0.29543173199999995,0.36856270399999996,0.08053691275167785,0.11314875812338646,0.05416684230493614,0.013413299833853386,-0.013670121318614684,18,56.0,977.0,965.0,966.0,963.0,1,Umina - Booker Bay - Patonga,NSW,99.0
10789.0,0.7,-42.0,88.0,791.6,100.0,84.0,0.051423292,0.059011051999999994,-0.15841584158415842,0.20165929203539823,0.10994175947685705,0.031134314190792597,-0.02383656554763593,18,17.0,1081.0,1077.0,1097.0,1060.0,0,Wamberal - Forresters Beach,NSW,2.7
14437.0,0.8,87.0,116.0,836.6,324.0,124.0,0.10418925999999998,0.04127986,-0.6153846153846154,0.1170376055257099,0.043818129661503155,0.005874222529371113,-0.016034842301380463,18,42.0,951.0,946.0,935.0,949.0,0,Woy Woy - Blackwall,NSW,1.5
11302.0,0.3,2.0,68.0,1352.9,24.0,24.0,0.004927600000000001,0.007208844000000001,0.0,-0.0342360756259581,-0.028943312210995033,-0.028693790149892935,-0.014222134044395419,9,2.0,981.0,959.0,986.0,965.0,0,Wyoming,NSW,0.1
22931.0,0.3,23.0,94.0,2117.0,228.0,160.0,0.081498536,0.06309091199999999,-0.29694323144104806,0.07234141791044776,0.03232903776211216,0.005027102640321734,-0.011137416240734346,17,20.0,991.0,966.0,1004.0,947.0,0,Bateau Bay - Killarney Vale,NSW,6.5
11557.0,0.5,-104.0,53.0,553.9,112.0,32.0,0.031335032,0.00838386,-0.7079646017699115,0.2896459882365997,0.038795029945472424,0.012988145048814504,-0.006409369923921708,20,14.0,920.0,886.0,977.0,855.0,0,Blue Haven - San Remo,NSW,2.1
9911.0,0.6,-19.0,34.0,1068.3,128.0,60.0,0.05391108,0.018424476000000002,-0.5271317829457365,0.10448753462603878,0.058174097664543525,0.026676279740447006,-0.0024107690918247562,17,17.0,954.0,918.0,972.0,899.0,0,Budgewoi - Buff Point - Halekulani,NSW,0.5
16223.0,0.8,21.0,93.0,667.5,216.0,372.0,0.07161320000000002,0.16844108000000002,0.7188940092165899,0.07996566296883253,0.03847863356403581,0.02449260836882987,0.005253291586811964,15,31.0,1018.0,988.0,1042.0,959.0,0,Chittaway Bay - Tumbi Umbi,NSW,21.0
22631.0,0.5,60.0,119.0,2021.5,304.0,276.0,0.08678003999999999,0.08247920000000002,-0.09180327868852459,0.1002467463350912,0.0291908037653874,-0.005684054042236894,-0.020279455924930592,14,25.0,917.0,891.0,943.0,876.0,0,Gorokan - Kanwal - Charmhaven,NSW,14.2
3498.0,1.9,34.0,21.0,10.3,36.0,44.0,0.019753279999999998,0.024684024,0.21621621621621623,0.18426294820717132,0.07375075255869958,0.02470554438379776,-0.012169831895552027,16,2.0,1060.0,1060.0,1127.0,1018.0,0,Jilliby - Yarramalong,NSW,0.1
11082.0,-0.2,-25.0,39.0,311.5,84.0,80.0,0.024775023999999996,0.032543699999999995,-0.047058823529411764,0.22273833222738332,0.03182454503033131,0.0034489017970593576,-0.012463370718106298,19,18.0,952.0,906.0,979.0,873.0,0,Lake Munmorah - Mannering Park,NSW,1.3
4915.0,0.2,-60.0,39.0,43.2,16.0,8.0,0.006272631999999999,0.0050592,-0.47058823529411764,0.0671286271113036,-0.014202840568113623,-0.018913000199084214,-0.011811579915027402,16,1.0,1052.0,1031.0,1064.0,1015.0,0,Ourimbah - Fountaindale,NSW,0.0
6754.0,2.4,110.0,21.0,753.3,436.0,388.0,0.171529816,0.17186716800000001,-0.10983981693363844,0.4689889549702634,0.20445837687216997,0.09899888765294772,-0.0032303007831372688,22,61.0,981.0,935.0,1017.0,890.0,1,Summerland Point - Gwandalan,NSW,95.2
15968.0,1.2,25.0,138.0,1165.8,804.0,896.0,0.35349006000000005,0.47268900399999997,0.11428571428571428,0.3528722157092614,0.08197160460755425,0.01444179329398468,-0.026544009009792445,18,87.0,945.0,935.0,930.0,944.0,1,The Entrance,NSW,99.5
9866.0,-0.2,61.0,31.0,935.9,244.0,180.0,0.085673128,0.09267397200000001,-0.2612244897959184,0.09580505174140425,0.013585837793330589,-0.027261951797708416,-0.03405487069437371,14,17.0,939.0,914.0,950.0,904.0,0,Toukley - Norah Head,NSW,0.6
5282.0,0.3,-76.0,54.0,190.2,8.0,20.0,0.002485228,0.00374,1.3333333333333333,0.21074285714285715,-0.016889383815887157,-0.014878184861446904,-0.006433492953503326,16,1.0,1013.0,996.0,1026.0,977.0,0,Tuggerah - Kangy Angy,NSW,0.1
21703.0,3.0,469.0,122.0,521.2,752.0,1396.0,0.247671444,0.490781676,0.8552456839309429,3.940110497237569,0.5534398888116748,0.21383579496090357,-0.06288414944493384,22,123.0,1002.0,992.0,1053.0,960.0,1,Warnervale - Wadalba,NSW,99.8
9299.0,0.7,-56.0,70.0,622.6,144.0,76.0,0.052175556000000005,0.027013396000000002,-0.4689655172413793,0.24547631718999469,0.06738882554161915,0.017831901707078397,-0.01586251106373118,20,10.0,897.0,892.0,925.0,897.0,0,Wyong,NSW,3.7
13067.0,2.0,177.0,36.0,141.8,328.0,184.0,0.13106923199999998,0.079229932,-0.4376899696048632,0.8096078165287013,0.25234785875281746,0.10986267166042447,-0.016311257715984254,22,25.0,984.0,957.0,1020.0,933.0,0,Bathurst - East,NSW,2.5
7006.0,0.5,0.0,16.0,1.9,140.0,84.0,0.07121642000000002,0.05539618400000001,-0.3971631205673759,0.16256808054134345,0.01733102253032929,0.01119724375538329,0.0025317324902186453,17,13.0,1049.0,1019.0,1081.0,998.0,0,Bathurst Surrounds,NSW,0.0
4848.0,-0.1,-12.0,13.0,1.6,132.0,100.0,0.060107483999999996,0.067247348,-0.24060150375939848,0.028444067077053704,0.03836262323189027,0.009164757342220371,-0.010016554273724764,14,17.0,965.0,934.0,991.0,915.0,0,Oberon,NSW,0.1
10596.0,-1.0,-126.0,104.0,279.9,312.0,104.0,0.117841788,0.038561703999999995,-0.6645367412140575,-0.061706313718476125,-0.04522704522704523,-0.0379607555474051,-0.015347232933882484,7,22.0,939.0,929.0,891.0,958.0,0,Bathurst - South,NSW,0.2
14670.0,1.0,-30.0,53.0,180.6,60.0,92.0,0.022493884,0.046846399999999996,0.5245901639344263,0.2885217391304348,0.11859288895599003,0.05752212389380531,-0.0017743205841897064,22,40.0,1011.0,982.0,1021.0,967.0,0,Bathurst - West,NSW,7.8
6391.0,-0.6,-60.0,18.0,0.4,58.0,52.0,0.030196068,0.03178192,-0.1016949152542373,-0.20669414262520294,-0.08958004873154651,-0.034650455927051675,0.010139568438721581,1,6.0,947.0,934.0,956.0,946.0,0,Condobolin,NSW,0.1
9150.0,-0.1,-1.0,22.0,37.7,124.0,82.0,0.07339270799999999,0.037849754,-0.336,-0.07956491086715681,-0.013599568267674042,-0.020156534791465636,-0.013356750657628615,8,11.0,914.0,890.0,927.0,888.0,0,Cowra,NSW,0.1
5738.0,0.6,18.0,12.0,1.9,100.0,64.0,0.041794255999999995,0.029942176000000004,-0.3564356435643564,0.0849464386393535,0.04469779225479551,0.026858769121309144,0.004509872993911389,18,7.0,974.0,949.0,999.0,953.0,0,Cowra Surrounds,NSW,0.0
10022.0,-0.3,-24.0,20.0,2.2,172.0,132.0,0.069615228,0.069095632,-0.23121387283236994,-0.07370665677730391,-0.03122272859497721,-0.028490859587709062,-0.012879495290220457,6,14.0,968.0,940.0,979.0,935.0,0,Forbes,NSW,0.0
3597.0,-0.5,-19.0,20.0,1.1,40.0,16.0,0.017436892,0.006208232,-0.5853658536585366,-0.06210691823899371,-0.031131564699512723,-0.011871893981225842,0.0036938883685305197,3,4.0,960.0,942.0,978.0,950.0,0,Grenfell,NSW,0.0
10976.0,0.2,-27.0,36.0,46.9,228.0,170.0,0.0910141,0.078732682,-0.25327510917030566,0.02230275996654586,-0.025511559925591284,-0.014953438395415472,-0.0021976584326198305,9,5.0,946.0,918.0,955.0,899.0,0,Parkes (NSW),NSW,0.1
3120.0,-0.9,-45.0,9.0,0.6,20.0,16.0,0.007773364,0.004852496,-0.19047619047619047,-0.18390501319261213,-0.10217706821480406,-0.08814858490566038,-0.03706005079825835,3,2.0,950.0,940.0,974.0,960.0,0,Parkes Surrounds,NSW,0.0
5433.0,-0.2,-45.0,17.0,0.7,40.0,92.0,0.013439996,0.0354236,1.2682926829268293,-0.1763097949886105,-0.09705343765606791,-0.05340314136125655,-0.004876422533222589,3,14.0,993.0,958.0,1001.0,939.0,0,West Wyalong,NSW,0.1
12252.0,-0.1,-40.0,38.0,102.0,168.0,56.0,0.063647028,0.03160418,-0.6627218934911243,-0.046297739672642245,-0.05710102489019034,-0.039409640445909874,-0.010859128000814705,9,16.0,910.0,892.0,923.0,874.0,0,Lithgow,NSW,0.1
8481.0,0.4,-3.0,25.0,3.4,232.0,120.0,0.093917008,0.06648215599999999,-0.48068669527896996,0.12473572938689217,0.02566574286058561,0.004602856131240411,-0.008230015299052394,19,15.0,971.0,940.0,1013.0,910.0,0,Lithgow Surrounds,NSW,0.1
12561.0,1.9,132.0,49.0,194.2,628.0,772.0,0.25286703199999994,0.277677888,0.2289348171701113,0.2955051629884592,0.09949308359824727,0.023432501599488165,-0.026314040199635468,16,57.0,990.0,960.0,998.0,925.0,1,Mudgee,NSW,98.9
3356.0,1.1,34.0,5.0,1.2,36.0,32.0,0.020042304,0.012957788000000001,-0.10810810810810811,-0.06760098928276999,-0.030571428571428572,-0.015951276102088168,-0.000665561816373882,6,6.0,899.0,885.0,927.0,898.0,0,Mudgee Surrounds - East,NSW,0.0
11303.0,0.8,33.0,36.0,1.4,176.0,116.0,0.08573141599999999,0.061005524000000005,-0.3389830508474576,0.15934065934065933,0.09410409064720568,0.049654537079686784,0.002602491756083944,18,26.0,987.0,953.0,1025.0,920.0,0,Mudgee Surrounds - West,NSW,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,Wollangambe - Wollemi,NSW,0.1
7661.0,1.6,65.0,26.0,4.7,136.0,180.0,0.071851768,0.074841068,0.32116788321167883,0.19842980295566504,0.06134969325153374,0.04188972162740899,0.01121487500164212,21,32.0,991.0,963.0,1020.0,942.0,0,Blayney,NSW,0.6
19117.0,0.0,-89.0,111.0,422.6,168.0,180.0,0.087380132,0.066512368,0.07100591715976332,-0.11750046151006092,-0.03258120004047354,-0.004684572142410993,0.011606027877825775,5,29.0,956.0,942.0,938.0,950.0,0,Orange,NSW,6.9
23518.0,1.4,13.0,155.0,239.7,552.0,330.0,0.26585135199999993,0.17822604200000003,-0.4014466546112116,0.7467418362864255,0.23758883643720496,0.06914941292462132,-0.049645005293981165,22,42.0,1027.0,1005.0,1034.0,988.0,0,Orange - North,NSW,7.3
11964.0,0.6,18.0,28.0,2.7,372.0,300.0,0.199718332,0.146427988,-0.19302949061662197,0.14995224450811842,0.0423339970565319,0.018267929634641408,-0.0028990688936245436,21,41.0,1048.0,1020.0,1069.0,994.0,0,Orange Surrounds,NSW,0.4
