Current Population,Population Growth Rate,Internal Migration,Overseas Migration,Population Density,Dwellings Approved 2022-23,Dwellings Approved 2023-24,Approval Value 2022-23,Approval Value 2023-24,Approval Growth Rate,20yr Population Growth,10yr Population Growth,5yr Population Growth,Growth Acceleration,Consecutive Growth Years,2025-26 Approvals FYTD,SEIFA Disadvantage Index,SEIFA Advantage Index,SEIFA Economic Index,SEIFA Education Index,sa2_name
-1.18965,-0.6338311,-0.6331499,0.06266051,-0.022104286,-4.8656864,-10.927632,-1.9591893,0.3416174,0.71942735,-0.1731491,-1.2767688,-0.4824702,0.044648524,-1.8858594,-10.615334,0.042649698,0.06321546,0.5568241,-0.9052946,Karabar
2.0693624,-1.3636366,-0.9343707,0.37186062,0.6568112,1.3789539,-12.581929,0.3211993,-0.3087445,-0.6785109,-1.2273952,-0.07615299,-0.48685706,-0.15443774,0.01246319,11.381208,-0.11852211,0.7801521,1.4309205,-0.320781,Queanbeyan
0.93031436,1.562352,2.5553863,1.885145,4.865691,-5.145852,-3.92369,0.28200352,2.3190575,2.323307,4.400174,1.5795414,1.8796215,1.4059488,0.34390724,2.0081382,1.8193095,0.6490141,3.8222194,1.6745849,Queanbeyan - East
4.7793007,-0.27308822,-0.04233867,1.4036051,-0.077794194,-4.9377575,-9.770553,-0.72657007,0.020985119,0.027010914,2.9518282,-1.0807883,0.66797316,-0.034656335,-0.15233813,-8.13695,-0.12902057,-0.20203748,0.70903784,0.61868685,Queanbeyan West - Jerrabomberra
-0.7386255,1.6529442,2.58281,-0.44939625,0.49774265,8.263583,15.667543,3.4207652,2.1790884,0.19433688,-1.3388416,-0.0045790463,0.99207765,0.1355677,0.6807823,11.293342,-0.55374855,-1.1010377,0.63845307,0.117307924,Googong
1.3597457,0.8777989,1.0708609,-0.033527017,-0.6232604,7.023487,12.5369,2.5244813,-0.22443053,0.3374372,0.85009915,-0.059536472,0.06632303,0.1601535,0.7760754,11.698657,-0.43936414,-0.10985993,0.264216,0.6006414,Queanbeyan Surrounds
-2.5329711,-1.1049231,0.038065467,-2.6143744,-0.35242838,-7.824139,4.307303,-1.6176963,-0.8462463,-0.60353714,-1.7369213,-1.105428,-1.5728201,-1.3476862,-1.5529749,-11.613622,0.09399532,0.06300296,-0.20843749,-0.2608148,Bombala
-0.65766925,-1.7932143,-1.9374831,-0.44197857,-2.6221526,-6.140164,-11.979193,-1.6404238,-0.4425991,-0.5522139,-1.4925792,-1.8952048,-1.8626355,0.03970101,-1.3537918,0.75706595,-0.40082905,-0.43771684,0.79480726,-0.26057363,Cooma
-1.908985,0.31653634,0.01676635,-1.3629745,-0.23240608,-3.3772047,-9.228591,-0.9383618,-0.28136426,0.09217102,0.20642483,0.35079432,0.21124695,0.41284308,2.971738,-8.195944,-0.42406955,0.11522567,-0.27091601,-0.518001,Cooma Surrounds
-1.3244061,1.2664083,-0.86511433,-0.47311246,-0.22995111,4.1062894,7.935361,2.984358,1.7797855,0.07945026,0.6635892,0.71782684,0.7339068,0.34773904,0.8027381,-2.675708,-0.19888616,0.009351288,-0.13818614,-0.19228461,Jindabyne - Berridale
