sa2_name,lat,lon
Victor Harbor,-35.5545579,138.6234743
Beechboro,-31.8695832,115.9374824
The Vines,-31.75683,116.0034
Picton - Tahmoor - Buxton,-33.3415555,115.7027399
Caboolture - South,-27.093826,152.9502117
Rosebud - McCrae,-38.3687638,144.924944
Flagstone (West) - New Beith,-27.8160216,152.9652865
Jimboomba - Glenlogan,-27.8278309,153.0113903
Boronia Heights - Park Ridge,-27.6943327,153.0272884
Beaudesert,-27.9885617,152.9961186
Mandurah - North,-32.5150958,115.7409691
Casuarina - Wandi,-12.3737641,130.8823639
Beaconsfield - Officer,-38.0230119,145.411509
Koo Wee Rup,-38.1990553,145.492854
Pakenham - North West,-38.0806283,145.4863217
Port Macquarie - West,-31.4299499,152.9103525
Wellard (West) - Bertram,-32.2639959,115.8170976
Gawler - South,-34.6113607,138.7498301
Virginia - Waterloo Corner,-34.666952,138.560977
Greenvale - Bulla,-37.6377329,144.8810975
Wonthaggi - Inverloch,-38.6303597,145.6502622
Bargara - Burnett Heads,-24.8154799,152.4630414
Sunbury - South,-32.7077041,147.594012
Heidelberg West,-37.7382431,145.0433922
Urangan - Wondunna,-25.287209,152.8981059
Mount Barker,-35.0641302,138.8586385
Sunbury,-37.5796938,144.7295281
Morisset - Cooranbong,-33.0841249,151.4585047
Pialba - Eli Waters,-25.2841693,152.8030564
Booral - River Heads,-25.353777,152.8901442
Byford,-32.2160061,116.01467
Dawesville - Bouvard,-32.6342692,115.638048
Portarlington,-38.1156562,144.6530634
Armadale - Wungong - Brookdale,-32.1733554,116.0082055
Yanchep,-31.54847,115.6373417
Baldivis - North,-32.3299121,115.8218124
Albion Park - Macquarie Pass,-34.5708425,150.7752326
Baldivis - South,-32.3595563,115.7990826
Charlemont,-38.20975,144.3686705
Delacombe,-37.584019,143.8172128
Cessnock,-32.8316667,151.3511111
Cobblebank - Strathtulloh,-37.7063004,144.6025657
Leppington - Catherine Field,-33.9650028,150.8011028
Wollert,-37.5939889,145.0337333
Busselton - West,-33.6513267,115.3427845
Collingwood Park - Redbank,-27.6048928,152.8718625
Mickleham - Yuroke,-37.6020865,144.8827422
Bass Hill - Georges Hall,-33.8986251,150.9974484
Horsley - Kembla Grange,-34.49,150.7761111
Banjup,-32.1565753,115.8878241
Wallan,-37.4168041,145.0052646
Piara Waters - Forrestdale,-32.1251145,115.9178022
Lockyer Valley - East,-27.680931,152.199498
Warragul,-38.1588674,145.933629
Grovedale - Mount Duneed,-38.2021549,144.3312609
Rockbank - Mount Cottrell,-37.7312767,144.6607316
Manor Lakes - Quandong,-37.8686285,144.5950127
Oran Park,-33.9948805,150.7402568
Burpengary,-27.1548645,152.9708226
Werribee - West,-31.7763065,116.361842
Yarrabilba,-27.8030098,153.1081584
Maclean - Yamba - Iluka,-29.4566667,153.2011111
Greenbank - North Maclean,-27.76144,152.996407
Goolwa - Port Elliot,-35.5087114,138.7428321
Wyndham Vale - North,-37.8722432,144.6084185
Mango Hill,-27.2394237,153.0346031
Warrnambool - North,-33.8523849,151.2472022
Wolffdene - Bahrs Scrub,-27.7826428,153.1726303
Warnervale - Wadalba,-33.2483333,151.4311111
Brabham - Henley Brook,-31.8283583,115.9764153
Douglas Park - Appin,-34.19,150.7011111
Narangba,-27.2027145,152.9592212
Riverstone,-33.6797545,150.8616695
Morayfield,-27.1102549,152.948924
Deception Bay,-27.1931635,153.0274736
Kingswood - Werrington,-33.7579649,150.7392893
Maroochydore - Kuluin,-26.6603562,153.0678969
Landsborough,-26.809659,152.9907408
Albury - East,-36.079176,146.92919
Munno Para West - Angle Vale,-34.6572412,138.6697638
Whittlesea,-37.5121301,145.1177321
Lara,-38.0235346,144.4088294
Two Rocks,-31.4955286,115.5868108
Williamtown - Medowie - Karuah,-32.815,151.8427778
Thornton - Millers Forest,-37.272738,145.8154196
Melton South - Weir Views,-37.7214595,144.5702513
White Hills - Ascot,-36.7275425,144.3028267
Branxton - Greta - Pokolbin,-32.6622131,151.3456985
Austral - Greendale,-33.9282672,150.8082824
Henley Beach,-34.9158802,138.4986953
Caboolture - West,-27.0839336,152.9510863
Drouin,-38.1361683,145.8564344
Baranduda - Leneva,-36.2354095,146.9038324
Rutherford (North) - Aberglasslyn,-32.7130291,151.525869
Alkimos - Eglinton,-31.6154224,115.6926511
Barwon Heads - Armstrong Creek,-38.2428138,144.383003
Plympton,-34.9620679,138.554884
Edgeworth - Cameron Park,-32.9197222,151.6311111
Rosewood,-35.6723934,147.8637459
Laurieton - Bonny Hills,-31.6508445,152.7959233
Berwick - South East,-38.0398297,145.3451089
Bohle Plains,-19.288899,146.6739271
Toowoomba - West,-27.6030794,151.9303591
Rostrevor - Magill,-34.8938435,138.6918266
Wangaratta,-36.356434,146.3228311
Chambers Flat - Logan Reserve,-27.7093986,153.0936781
Cleveland,-27.5262987,153.2667298
Ripley,-27.6712978,152.7804522
Caloundra West - Baringa,-26.8051945,153.100046
Aldinga,-35.2673234,138.4831296
Cranbourne,-38.0997308,145.2807256
Fraser Rise - Plumpton,-37.7059863,144.7174013
Cranbourne South,-38.1577683,145.2624214
Kurri Kurri - Abermain,-32.8175039,151.4833649
Tarneit (West) - Mount Cottrell,-37.8321522,144.69462
Cranbourne East - South,-38.1382199,145.3073482
Gisborne,-37.486723,144.5904237
Rutherford (South) - Telarah,-32.7130291,151.525869
Diggers Rest,-37.6275995,144.7200075
Windsor Gardens,-34.8655403,138.6543408
Redbank Plains,-27.6513182,152.8479458
Redland Bay,-27.6126945,153.3036238
Marsden Park - Shanes Park,-33.6956552,150.8147975
Cranbourne West,-38.102241,145.2517182
Huntingdale - Southern River,-37.9107647,145.1020573
Paradise - Newton,-34.8710706,138.6762598
Kilmore - Broadford,-37.2152885,145.0284525
Mindarie - Quinns Rocks - Jindalee,-31.6897332,115.7091824
Griffith (NSW),-34.2873127,146.0430799
Singleton - Golden Bay - Secret Harbour,-32.602355,151.1132887
Braybrook,-37.7867076,144.8548451
Altona North,-37.8378229,144.8342853
Strathalbyn,-35.2576239,138.8956803
Chester Hill - Sefton,-33.8834343,151.0041547
Clyde North - North,-39.0335341,177.4215563
Bacchus Marsh,-37.6751897,144.4366202
Hazelmere - Guildford,-31.9109095,116.0030678
The Entrance,-33.3440586,151.4960171
Yarrawonga,-36.0141692,146.0063494
Doncaster,-37.7848299,145.1238431
Torquay - Scarness - Kawungan,-38.3266551,144.3134076
Truganina - North,-37.8089015,144.721139
Mount Waverley - South,-33.8973497,151.2549722
Clyde North - South,-33.732782,151.108066
Enfield - Blair Athol,-34.8695242,138.5997114
Pinjarra,-32.6318966,115.869247
Gawler - North,-34.622682,138.7378403
Woodford - D`Aguilar,-26.9632249,152.7806176
Tarneit - North,-37.8322388,144.6985802
Oakleigh - Huntingdale,-37.9103749,145.1034302
Lilydale - Coldstream,-37.7322072,145.3401958
Richmond - Clarendon,-33.6011603,150.7792786
Padstow,-33.9487767,151.030116
Point Nepean,-38.3016568,144.6527242
Penrith,-33.7511954,150.6941711
Hope Island,-43.336959,147.0423364
Gledswood Hills - Gregory Hills,-34.02074,150.7635881
Nambour,-26.6257326,152.959953
Gympie - South,-26.8079732,152.9595106
Mordialloc - Parkdale,-38.0054479,145.0809706
Gympie Surrounds,,
Rosemeadow - Glen Alpine,-34.1066667,150.7927778
Bullsbrook,-31.6637374,116.0272659
Berwick - South West,-31.9813361,115.8903443
Sutherland - Kirrawee,-34.0273783,151.0781539
North Ryde - East Ryde,-33.8161974,151.1401404
Warradale,-35.0073785,138.5355935
Chipping Norton - Moorebank,-33.919687,150.9630711
Burrum - Fraser,-25.1840105,152.6129695
Reservoir - North East,-37.7168415,145.0069944
Mandurah - East,-32.2688253,115.7798931
Balwyn North,-37.7919518,145.0842372
Seaton - Grange,-34.8893682,138.5043617
Cobbitty - Bringelly,-34.0104185,150.6922716
Victoria Point,-27.5843003,153.300364
Southern Moreton Bay Islands,-27.7829015,153.4034627
Rochedale - Burbank,-27.570167,153.126907
Ermington - Rydalmere,-33.8101156,151.0600559
Bradbury - Wedderburn,-34.0816667,150.8177778
Schofields - East,-33.6971603,150.8711915
Lewiston - Two Wells,-34.6102778,138.5897511
Scarborough - Newport,-31.8959841,115.7592114
Highfields,-27.4517705,151.9462897
Wollongong - East,-34.4253582,150.896673
Ingle Farm,-34.8275823,138.6454465
Busselton Surrounds,,
Burdell - Mount Low,-19.2302325,146.6974535
Moama,-36.1054404,144.758824
Payneham - Felixstow,-34.8906278,138.6533791
Queanbeyan Surrounds,,
Tamworth Surrounds,,
Camberwell,-37.8384623,145.0740767
Maitland,-32.7316683,151.5511123
Gingin - Dandaragan,-31.184878,115.7255672
Glen Waverley - East,-37.8796677,145.1629162
Hope Valley - Modbury,-34.8453721,138.6960181
Box Hill - Nelson,-37.8166959,145.1198034
Airlie - Whitsundays,-20.2767241,148.7276239
Canley Vale - Canley Heights,-33.8840168,150.9275405
Lidcombe,-33.8630649,151.0456771
Morphettville,-34.9846034,138.5430906
Ocean Grove,-38.267045,144.52487
Umina - Booker Bay - Patonga,-20.5106348,147.8254003
Flinders Park,-34.9102468,138.5432009
Dandenong - North,-37.9558319,145.2143234
Caboolture - East,-27.0787251,152.9543001
Murrumba Downs - Griffin,-27.2645498,153.0065013
Mitchell Park,-37.5092095,143.7772292
Eynesbury - Exford,-37.7610022,144.5651267
Gordonvale - Trinity,-17.0981626,145.7759747
Gosnells,-32.0673135,115.9977304
Revesby,-33.9436876,151.0137191
Mudgee,-32.5980702,149.5886383
Box Hill North,-37.8056831,145.1295748
Balwyn,-37.8091737,145.0833678
Golden Beach - Pelican Waters,-26.8156844,153.1197588
Bentleigh - McKinnon,-37.9225042,145.0448596
Brighton (Vic.),-37.8979882,145.005243
Woodville - Cheltenham,-34.8795782,138.5389922
Guildford West - Merrylands West,-33.8483084,150.9657421
Shepparton - North,-36.322336,145.3887061
Smithfield - Wetherill Park,-33.850816,150.909686
Bayswater - Embleton - Bedford,-31.909036,115.9039135
Preston - East,-37.743756,145.0063017
Australind - Leschenault,-33.2311441,115.7254452
Blackburn,-37.8201373,145.1500496
Pallara - Willawong,-27.6111011,153.0118232
Richmond (SA),37.7688386,-122.4705979
Davoren Park,-34.6910694,138.6683869
Moss Vale - Berrima,-34.531339,150.3537874
Yeppoon,-23.1348035,150.7436625
Eastwood,-33.79,151.0844444
Pitt Town - McGraths Hill,-33.6144928,150.8374464
The Parks,-26.7984569,152.9658388
Springvale,-37.9495893,145.1537826
Boronia,-37.860645,145.2848446
Ryde - North,-33.7944247,151.1215896
Palm Beach,-33.6005473,151.3231536
Panania (North) - Milperra,-33.9543358,150.9978399
Morayfield - East,-27.1167037,152.9656226
Dubbo - South,-32.2740897,148.5772734
Logan Village,-27.7675482,153.1070052
Balgownie - Fairy Meadow,-34.395368,150.8963847
Balga - Mirrabooka,-31.8591302,115.854986
Cashmere,-27.2988918,152.9122352
Wagga Wagga Surrounds,,
Box Hill,-37.8215116,145.1261267
Mandurah - South,-32.5176072,115.7559725
Beckenham - Kenwick - Langford,-32.0215834,115.9648379
North Nowra - Bomaderry,-34.8580611,150.5827879
Wentworthville - Westmead,-33.8066667,150.9677778
Mildura - South,-34.2105988,142.1248077
Mount Waverley - North,-37.8676858,145.1416637
Keilor East,-37.739339,144.8591851
